Time,Date,Day,Hum,Temp,Temp_feels,WE-mv,AUX-mv,LASER-V,NaN
15:3:4,12/7/2024,FRI,99.90,24.40,25.50,228.49,239.20,0.025,0.00751
15:3:5,12/7/2024,FRI,99.90,24.40,25.50,228.48,239.12,0.025,0.00752
15:3:5,12/7/2024,FRI,99.90,24.40,25.50,228.64,239.20,0.025,0.00819
15:3:5,12/7/2024,FRI,99.90,24.40,25.50,228.52,239.23,0.025,0.00762
15:3:5,12/7/2024,FRI,99.90,24.40,25.50,228.49,239.26,0.025,0.00747
15:3:6,12/7/2024,FRI,99.90,24.40,25.50,228.60,239.27,0.025,0.00791
15:3:6,12/7/2024,FRI,99.90,24.40,25.50,228.56,239.15,0.025,0.00787
15:3:6,12/7/2024,FRI,99.90,24.40,25.50,228.48,239.14,0.025,0.00751
15:3:6,12/7/2024,FRI,99.90,24.40,25.50,228.50,239.14,0.025,0.00760
15:3:7,12/7/2024,FRI,99.90,24.40,25.50,228.47,239.21,0.025,0.00742
15:3:7,12/7/2024,FRI,99.90,24.40,25.50,228.44,239.19,0.025,0.00730
15:3:8,12/7/2024,FRI,99.90,24.40,25.50,228.50,239.23,0.025,0.00751
15:3:8,12/7/2024,FRI,99.90,24.40,25.50,228.51,239.29,0.025,0.00751
15:3:8,12/7/2024,FRI,99.90,24.40,25.50,228.55,239.26,0.025,0.00772
15:3:9,12/7/2024,FRI,99.90,24.40,25.50,228.54,239.23,0.025,0.00769
15:3:9,12/7/2024,FRI,99.90,24.40,25.50,228.40,239.27,0.025,0.00705
15:3:9,12/7/2024,FRI,99.90,24.40,25.50,228.33,239.25,0.025,0.00675
15:3:9,12/7/2024,FRI,99.90,24.40,25.50,228.30,239.28,0.025,0.00658
15:3:10,12/7/2024,FRI,99.90,24.40,25.50,228.33,239.31,0.025,0.00669
15:3:10,12/7/2024,FRI,99.90,24.40,25.50,228.44,239.29,0.025,0.00718
15:3:10,12/7/2024,FRI,99.90,24.40,25.50,228.42,239.23,0.025,0.00715
15:3:10,12/7/2024,FRI,99.90,24.40,25.50,228.41,239.28,0.025,0.00708
15:3:11,12/7/2024,FRI,99.90,24.40,25.50,228.24,239.23,0.025,0.00635
15:3:11,12/7/2024,FRI,99.90,24.40,25.50,228.21,239.16,0.025,0.00627
15:3:11,12/7/2024,FRI,99.90,24.40,25.50,228.37,239.27,0.025,0.00691
15:3:11,12/7/2024,FRI,99.90,24.40,25.50,228.42,239.30,0.025,0.00707
15:3:12,12/7/2024,FRI,99.90,24.40,25.50,228.60,239.42,0.025,0.00779
15:3:12,12/7/2024,FRI,99.90,24.40,25.50,228.69,239.40,0.025,0.00820
15:3:12,12/7/2024,FRI,99.90,24.40,25.50,228.66,239.34,0.025,0.00812
15:3:12,12/7/2024,FRI,99.90,24.40,25.50,228.58,239.41,0.025,0.00769
15:3:13,12/7/2024,FRI,99.90,24.40,25.50,228.72,239.60,0.025,0.00813
15:3:13,12/7/2024,FRI,99.90,24.40,25.50,228.76,239.50,0.025,0.00840
15:3:13,12/7/2024,FRI,99.90,24.40,25.50,228.87,239.44,0.025,0.00897
15:3:13,12/7/2024,FRI,99.90,24.40,25.50,228.98,239.45,0.025,0.00945
15:3:13,12/7/2024,FRI,99.90,24.40,25.50,228.91,239.45,0.025,0.00911
15:3:14,12/7/2024,FRI,99.90,24.40,25.50,229.04,239.34,0.025,0.00982
15:3:14,12/7/2024,FRI,99.90,24.40,25.50,229.12,239.36,0.025,0.01017
15:3:14,12/7/2024,FRI,99.90,24.40,25.50,229.19,239.37,0.025,0.01047
15:3:14,12/7/2024,FRI,99.90,24.40,25.50,229.27,239.46,0.025,0.01071
15:3:15,12/7/2024,FRI,99.90,24.40,25.50,229.28,239.40,0.025,0.01085
15:3:15,12/7/2024,FRI,99.90,24.40,25.50,229.25,239.25,0.025,0.01087
15:3:15,12/7/2024,FRI,99.90,24.40,25.50,229.26,239.19,0.025,0.01096
15:3:16,12/7/2024,FRI,99.90,24.40,25.50,229.30,239.20,0.025,0.01113
15:3:16,12/7/2024,FRI,99.90,24.40,25.50,229.36,239.30,0.025,0.01132
15:3:17,12/7/2024,FRI,99.90,24.40,25.50,229.40,239.27,0.025,0.01154
15:3:17,12/7/2024,FRI,99.90,24.40,25.50,229.28,239.32,0.025,0.01092
15:3:17,12/7/2024,FRI,99.90,24.40,25.50,229.19,239.13,0.025,0.01071
15:3:18,12/7/2024,FRI,99.90,24.40,25.50,229.06,239.06,0.025,0.01020
15:3:18,12/7/2024,FRI,99.90,24.40,25.50,229.01,239.03,0.025,0.01001
15:3:18,12/7/2024,FRI,99.90,24.40,25.50,229.01,239.02,0.025,0.01003
15:3:18,12/7/2024,FRI,99.90,24.40,25.50,228.95,239.19,0.025,0.00958
15:3:19,12/7/2024,FRI,99.90,24.40,25.50,228.96,239.25,0.025,0.00956
15:3:19,12/7/2024,FRI,99.90,24.40,25.50,228.98,239.28,0.025,0.00961
15:3:19,12/7/2024,FRI,99.90,24.40,25.50,228.80,239.21,0.025,0.00889
15:3:19,12/7/2024,FRI,99.90,24.40,25.50,228.85,239.29,0.025,0.00905
15:3:20,12/7/2024,FRI,99.90,24.40,25.50,228.89,239.34,0.025,0.00914
15:3:20,12/7/2024,FRI,99.90,24.40,25.50,228.91,239.49,0.025,0.00909
15:3:20,12/7/2024,FRI,99.90,24.40,25.50,229.14,239.70,0.025,0.00991
15:3:20,12/7/2024,FRI,99.90,24.40,25.50,229.12,239.62,0.025,0.00991
15:3:21,12/7/2024,FRI,99.90,24.40,25.50,229.08,239.65,0.025,0.00971
15:3:21,12/7/2024,FRI,99.90,24.40,25.50,229.03,239.45,0.025,0.00968
15:3:21,12/7/2024,FRI,99.90,24.40,25.50,229.08,239.42,0.025,0.00994
15:3:21,12/7/2024,FRI,99.90,24.40,25.50,229.07,239.33,0.025,0.00998
15:3:21,12/7/2024,FRI,99.90,24.40,25.50,229.23,239.41,0.025,0.01063
15:3:22,12/7/2024,FRI,99.90,24.40,25.50,229.09,239.24,0.025,0.01017
15:3:22,12/7/2024,FRI,99.90,24.40,25.50,229.03,239.24,0.025,0.00990
15:3:22,12/7/2024,FRI,99.90,24.40,25.50,228.89,239.08,0.025,0.00942
15:3:22,12/7/2024,FRI,99.90,24.40,25.50,228.71,238.85,0.025,0.00887
15:3:23,12/7/2024,FRI,99.90,24.40,25.50,228.73,238.81,0.025,0.00901
15:3:23,12/7/2024,FRI,99.90,24.40,25.50,228.79,238.75,0.025,0.00932
15:3:23,12/7/2024,FRI,99.90,24.40,25.50,228.93,238.78,0.025,0.00992
15:3:23,12/7/2024,FRI,99.90,24.40,25.50,228.79,238.75,0.025,0.00933
15:3:24,12/7/2024,FRI,99.90,24.40,25.50,228.72,238.81,0.025,0.00896
15:3:24,12/7/2024,FRI,99.90,24.40,25.50,228.71,238.79,0.025,0.00891
15:3:24,12/7/2024,FRI,99.90,24.40,25.50,228.82,238.94,0.025,0.00924
15:3:25,12/7/2024,FRI,99.90,24.40,25.50,228.87,238.91,0.025,0.00951
15:3:25,12/7/2024,FRI,99.90,24.40,25.50,229.05,239.15,0.025,0.01007
15:3:25,12/7/2024,FRI,99.90,24.40,25.50,229.08,239.22,0.025,0.01015
15:3:25,12/7/2024,FRI,99.90,24.40,25.50,229.15,239.34,0.025,0.01034
15:3:26,12/7/2024,FRI,99.90,24.40,25.50,229.25,239.46,0.025,0.01062
15:3:26,12/7/2024,FRI,99.90,24.40,25.50,229.08,239.42,0.025,0.00993
15:3:26,12/7/2024,FRI,99.90,24.40,25.50,229.11,239.39,0.025,0.01008
15:3:26,12/7/2024,FRI,99.90,24.40,25.50,229.13,239.37,0.025,0.01020
15:3:27,12/7/2024,FRI,99.90,24.40,25.50,229.04,239.34,0.025,0.00982
15:3:27,12/7/2024,FRI,99.90,24.40,25.50,228.98,239.29,0.025,0.00962
15:3:27,12/7/2024,FRI,99.90,24.40,25.50,229.02,239.27,0.025,0.00982
15:3:27,12/7/2024,FRI,99.90,24.40,25.50,229.01,239.25,0.025,0.00980
15:3:27,12/7/2024,FRI,99.90,24.40,25.50,229.05,239.32,0.025,0.00990
15:3:28,12/7/2024,FRI,99.90,24.40,25.50,228.99,239.28,0.025,0.00968
15:3:28,12/7/2024,FRI,99.90,24.40,25.50,228.98,239.24,0.025,0.00965
15:3:28,12/7/2024,FRI,99.90,24.40,25.50,229.06,239.30,0.025,0.00995
15:3:29,12/7/2024,FRI,99.90,24.40,25.50,229.00,239.41,0.025,0.00960
15:3:29,12/7/2024,FRI,99.90,24.40,25.50,228.99,239.50,0.025,0.00946
15:3:29,12/7/2024,FRI,99.90,24.40,25.50,229.02,239.42,0.025,0.00965
15:3:29,12/7/2024,FRI,99.90,24.40,25.50,229.03,239.43,0.025,0.00968
15:3:29,12/7/2024,FRI,99.90,24.40,25.50,229.01,239.37,0.025,0.00966
15:3:30,12/7/2024,FRI,99.90,24.40,25.50,228.92,239.25,0.025,0.00939
15:3:30,12/7/2024,FRI,99.90,24.40,25.50,228.89,239.18,0.025,0.00933
15:3:30,12/7/2024,FRI,99.90,24.40,25.50,228.86,239.20,0.025,0.00918
15:3:30,12/7/2024,FRI,99.90,24.40,25.50,228.84,239.27,0.025,0.00900
15:3:31,12/7/2024,FRI,99.90,24.40,25.50,228.84,239.36,0.025,0.00891
15:3:31,12/7/2024,FRI,99.90,24.40,25.50,228.87,239.28,0.025,0.00914
15:3:31,12/7/2024,FRI,99.90,24.40,25.50,228.88,239.20,0.025,0.00927
15:3:32,12/7/2024,FRI,99.90,24.40,25.50,228.89,239.25,0.025,0.00925
15:3:32,12/7/2024,FRI,99.90,24.40,25.50,228.81,239.21,0.025,0.00894
15:3:32,12/7/2024,FRI,99.90,24.40,25.50,228.78,239.27,0.025,0.00874
15:3:32,12/7/2024,FRI,99.90,24.40,25.50,228.80,239.32,0.025,0.00877
15:3:33,12/7/2024,FRI,99.90,24.40,25.50,228.70,239.32,0.025,0.00830
15:3:33,12/7/2024,FRI,99.90,24.40,25.50,228.63,239.17,0.025,0.00815
15:3:33,12/7/2024,FRI,99.90,24.40,25.50,228.54,239.08,0.025,0.00785
15:3:33,12/7/2024,FRI,99.90,24.40,25.50,228.50,238.92,0.025,0.00786
15:3:33,12/7/2024,FRI,99.90,24.40,25.50,228.61,238.95,0.025,0.00830
15:3:34,12/7/2024,FRI,99.90,24.40,25.50,228.68,239.04,0.025,0.00853
15:3:34,12/7/2024,FRI,99.90,24.40,25.50,228.62,239.07,0.025,0.00823
15:3:34,12/7/2024,FRI,99.90,24.40,25.50,228.67,239.12,0.025,0.00841
15:3:35,12/7/2024,FRI,99.90,24.40,25.50,228.64,239.19,0.025,0.00820
15:3:35,12/7/2024,FRI,99.90,24.40,25.50,228.67,239.19,0.025,0.00832
15:3:35,12/7/2024,FRI,99.90,24.40,25.50,228.81,239.24,0.025,0.00891
15:3:35,12/7/2024,FRI,99.90,24.40,25.50,228.96,239.47,0.025,0.00934
15:3:36,12/7/2024,FRI,99.90,24.40,25.50,228.91,239.52,0.025,0.00907
15:3:36,12/7/2024,FRI,99.90,24.40,25.50,228.93,239.57,0.025,0.00911
15:3:36,12/7/2024,FRI,99.90,24.40,25.50,228.83,239.66,0.025,0.00856
15:3:36,12/7/2024,FRI,99.90,24.40,25.50,228.89,239.68,0.025,0.00882
15:3:37,12/7/2024,FRI,99.90,24.40,25.50,229.01,239.62,0.025,0.00942
15:3:37,12/7/2024,FRI,99.90,24.40,25.50,229.12,239.59,0.025,0.00992
15:3:37,12/7/2024,FRI,99.90,24.40,25.50,229.09,239.40,0.025,0.00998
15:3:37,12/7/2024,FRI,99.90,24.40,25.50,229.04,239.35,0.025,0.00982
15:3:38,12/7/2024,FRI,99.90,24.40,25.50,228.94,239.26,0.025,0.00944
15:3:38,12/7/2024,FRI,99.90,24.40,25.50,229.00,239.14,0.025,0.00983
15:3:38,12/7/2024,FRI,99.90,24.40,25.50,229.09,239.06,0.025,0.01035
15:3:38,12/7/2024,FRI,99.90,24.40,25.50,229.12,239.15,0.025,0.01039
15:3:39,12/7/2024,FRI,99.90,24.40,25.50,229.12,239.03,0.025,0.01049
15:3:39,12/7/2024,FRI,99.90,24.40,25.50,229.00,238.96,0.025,0.01005
15:3:39,12/7/2024,FRI,99.90,24.40,25.50,229.05,238.96,0.025,0.01025
15:3:39,12/7/2024,FRI,99.90,24.40,25.50,228.97,238.91,0.025,0.00996
15:3:40,12/7/2024,FRI,99.90,24.40,25.50,229.08,238.97,0.025,0.01041
15:3:40,12/7/2024,FRI,99.90,24.40,25.50,229.08,238.94,0.025,0.01044
15:3:40,12/7/2024,FRI,99.90,24.40,25.50,229.17,238.96,0.025,0.01080
15:3:40,12/7/2024,FRI,99.90,24.40,25.50,229.13,239.02,0.025,0.01053
15:3:41,12/7/2024,FRI,99.90,24.40,25.50,229.18,239.19,0.025,0.01063
15:3:41,12/7/2024,FRI,99.90,24.40,25.50,229.20,239.14,0.025,0.01074
15:3:41,12/7/2024,FRI,99.90,24.40,25.50,229.23,239.20,0.025,0.01083
15:3:41,12/7/2024,FRI,99.90,24.40,25.50,229.32,239.25,0.025,0.01116
15:3:42,12/7/2024,FRI,99.90,24.40,25.50,229.37,239.39,0.025,0.01124
15:3:42,12/7/2024,FRI,99.90,24.40,25.50,229.38,239.50,0.025,0.01117
15:3:42,12/7/2024,FRI,99.90,24.40,25.50,229.39,239.66,0.025,0.01107
15:3:42,12/7/2024,FRI,99.90,24.40,25.50,229.37,239.75,0.025,0.01090
15:3:43,12/7/2024,FRI,99.90,24.40,25.50,229.45,239.85,0.025,0.01113
15:3:43,12/7/2024,FRI,99.90,24.40,25.50,229.35,239.80,0.025,0.01077
15:3:43,12/7/2024,FRI,99.90,24.40,25.50,229.28,239.57,0.025,0.01067
15:3:43,12/7/2024,FRI,99.90,24.40,25.50,229.30,239.58,0.025,0.01074
15:3:44,12/7/2024,FRI,99.90,24.40,25.50,229.36,239.62,0.025,0.01096
15:3:44,12/7/2024,FRI,99.90,24.40,25.50,229.32,239.68,0.025,0.01075
15:3:44,12/7/2024,FRI,99.90,24.40,25.50,229.26,239.64,0.025,0.01049
15:3:44,12/7/2024,FRI,99.90,24.40,25.50,229.27,239.55,0.025,0.01065
15:3:45,12/7/2024,FRI,99.90,24.40,25.50,229.29,239.51,0.025,0.01076
15:3:45,12/7/2024,FRI,99.90,24.40,25.50,229.40,239.50,0.025,0.01130
15:3:45,12/7/2024,FRI,99.90,24.40,25.50,229.31,239.46,0.025,0.01093
15:3:45,12/7/2024,FRI,99.90,24.40,25.50,229.27,239.44,0.025,0.01077
15:3:46,12/7/2024,FRI,99.90,24.40,25.50,229.27,239.57,0.025,0.01060
15:3:46,12/7/2024,FRI,99.90,24.40,25.50,229.19,239.54,0.025,0.01031
15:3:46,12/7/2024,FRI,99.90,24.40,25.50,229.16,239.45,0.025,0.01025
15:3:46,12/7/2024,FRI,99.90,24.40,25.50,229.15,239.40,0.025,0.01026
15:3:47,12/7/2024,FRI,99.90,24.40,25.50,229.08,239.32,0.025,0.01003
15:3:47,12/7/2024,FRI,99.90,24.40,25.50,229.07,239.43,0.025,0.00988
15:3:47,12/7/2024,FRI,99.90,24.40,25.50,228.99,239.34,0.025,0.00961
15:3:47,12/7/2024,FRI,99.90,24.40,25.50,228.99,239.32,0.025,0.00961
15:3:48,12/7/2024,FRI,99.90,24.40,25.50,228.98,239.32,0.025,0.00960
15:3:48,12/7/2024,FRI,99.90,24.40,25.50,229.03,239.39,0.025,0.00973
15:3:48,12/7/2024,FRI,99.90,24.40,25.50,228.93,239.27,0.025,0.00940
15:3:48,12/7/2024,FRI,99.90,24.40,25.50,228.92,239.23,0.025,0.00940
15:3:49,12/7/2024,FRI,99.90,24.40,25.50,228.90,239.28,0.025,0.00928
15:3:49,12/7/2024,FRI,99.90,24.40,25.50,228.94,239.29,0.025,0.00945
15:3:49,12/7/2024,FRI,99.90,24.40,25.50,228.92,239.40,0.025,0.00925
15:3:49,12/7/2024,FRI,99.90,24.40,25.50,229.01,239.35,0.025,0.00970
15:3:50,12/7/2024,FRI,99.90,24.40,25.50,228.95,239.44,0.025,0.00933
15:3:50,12/7/2024,FRI,99.90,24.40,25.50,228.83,239.40,0.025,0.00882
15:3:50,12/7/2024,FRI,99.90,24.40,25.50,228.82,239.38,0.025,0.00879
15:3:50,12/7/2024,FRI,99.90,24.40,25.50,228.83,239.32,0.025,0.00892
15:3:51,12/7/2024,FRI,99.90,24.40,25.50,228.89,239.39,0.025,0.00910
15:3:51,12/7/2024,FRI,99.90,24.40,25.50,228.98,239.43,0.025,0.00946
15:3:51,12/7/2024,FRI,99.90,24.40,25.50,229.01,239.44,0.025,0.00960
15:3:51,12/7/2024,FRI,99.90,24.40,25.50,228.94,239.41,0.025,0.00930
15:3:52,12/7/2024,FRI,99.90,24.40,25.50,228.98,239.35,0.025,0.00955
15:3:52,12/7/2024,FRI,99.90,24.40,25.50,228.88,239.38,0.025,0.00908
15:3:52,12/7/2024,FRI,99.90,24.40,25.50,228.91,239.38,0.025,0.00918
15:3:52,12/7/2024,FRI,99.90,24.40,25.50,229.02,239.40,0.025,0.00967
15:3:53,12/7/2024,FRI,99.90,24.40,25.50,229.06,239.40,0.025,0.00986
15:3:53,12/7/2024,FRI,99.90,24.40,25.50,229.17,239.42,0.025,0.01034
15:3:53,12/7/2024,FRI,99.90,24.40,25.50,229.27,239.48,0.025,0.01073
15:3:53,12/7/2024,FRI,99.90,24.40,25.50,229.22,239.52,0.025,0.01044
15:3:54,12/7/2024,FRI,99.90,24.40,25.50,229.23,239.49,0.025,0.01051
15:3:54,12/7/2024,FRI,99.90,24.40,25.50,229.17,239.49,0.025,0.01026
15:3:54,12/7/2024,FRI,99.90,24.40,25.50,229.07,239.48,0.025,0.00981
15:3:54,12/7/2024,FRI,99.90,24.40,25.50,229.04,239.37,0.025,0.00980
15:3:55,12/7/2024,FRI,99.90,24.40,25.50,228.99,239.21,0.025,0.00975
15:3:55,12/7/2024,FRI,99.90,24.40,25.50,228.89,239.22,0.025,0.00929
15:3:55,12/7/2024,FRI,99.90,24.40,25.50,228.89,239.23,0.025,0.00927
15:3:55,12/7/2024,FRI,99.90,24.40,25.50,228.89,239.30,0.025,0.00922
15:3:56,12/7/2024,FRI,99.90,24.40,25.50,228.78,239.20,0.025,0.00882
15:3:56,12/7/2024,FRI,99.90,24.40,25.50,228.77,239.06,0.025,0.00889
15:3:56,12/7/2024,FRI,99.90,24.40,25.50,228.77,239.04,0.025,0.00891
15:3:56,12/7/2024,FRI,99.90,24.40,25.50,228.75,239.05,0.025,0.00885
15:3:57,12/7/2024,FRI,99.90,24.40,25.50,228.86,239.06,0.025,0.00932
15:3:57,12/7/2024,FRI,99.90,24.40,25.50,228.92,239.09,0.025,0.00956
15:3:57,12/7/2024,FRI,99.90,24.40,25.50,228.95,239.18,0.025,0.00960
15:3:57,12/7/2024,FRI,99.90,24.40,25.50,229.08,239.23,0.025,0.01015
15:3:58,12/7/2024,FRI,99.90,24.40,25.50,228.99,239.17,0.025,0.00979
15:3:58,12/7/2024,FRI,99.90,24.40,25.50,228.89,239.08,0.025,0.00942
15:3:58,12/7/2024,FRI,99.90,24.40,25.50,228.85,239.11,0.025,0.00920
15:3:58,12/7/2024,FRI,99.90,24.40,25.50,228.80,239.20,0.025,0.00888
15:3:59,12/7/2024,FRI,99.90,24.40,25.50,228.80,239.22,0.025,0.00886
15:3:59,12/7/2024,FRI,99.90,24.40,25.50,228.85,239.19,0.025,0.00913
15:3:59,12/7/2024,FRI,99.90,24.40,25.50,228.80,239.23,0.025,0.00887
15:3:59,12/7/2024,FRI,99.90,24.40,25.50,228.75,239.31,0.025,0.00855
15:4:0,12/7/2024,FRI,99.90,24.40,25.50,228.82,239.31,0.025,0.00889
15:4:0,12/7/2024,FRI,99.90,24.40,25.50,228.73,239.30,0.025,0.00846
15:4:0,12/7/2024,FRI,99.90,24.40,25.50,228.73,239.34,0.025,0.00844
15:4:0,12/7/2024,FRI,99.90,24.40,25.50,228.72,239.32,0.025,0.00841
15:4:1,12/7/2024,FRI,99.90,24.40,25.50,228.78,239.31,0.025,0.00871
15:4:1,12/7/2024,FRI,99.90,24.40,25.50,228.79,239.26,0.025,0.00879
15:4:1,12/7/2024,FRI,99.90,24.40,25.50,228.82,239.30,0.025,0.00889
15:4:1,12/7/2024,FRI,99.90,24.40,25.50,228.80,239.31,0.025,0.00879
15:4:2,12/7/2024,FRI,99.90,24.40,25.50,228.78,239.17,0.025,0.00884
15:4:2,12/7/2024,FRI,99.90,24.40,25.50,228.73,239.12,0.025,0.00867
15:4:2,12/7/2024,FRI,99.90,24.40,25.50,228.66,239.20,0.025,0.00827
15:4:2,12/7/2024,FRI,99.90,24.40,25.50,228.58,239.15,0.025,0.00797
15:4:3,12/7/2024,FRI,99.90,24.40,25.50,228.57,239.10,0.025,0.00794
15:4:3,12/7/2024,FRI,99.90,24.40,25.50,228.63,239.10,0.025,0.00823
15:4:3,12/7/2024,FRI,99.90,24.40,25.50,228.60,239.11,0.025,0.00808
15:4:3,12/7/2024,FRI,99.90,24.40,25.50,228.62,239.20,0.025,0.00810
15:4:4,12/7/2024,FRI,99.90,24.40,25.50,228.52,239.15,0.025,0.00771
15:4:4,12/7/2024,FRI,99.90,24.40,25.50,228.54,239.21,0.025,0.00772
15:4:4,12/7/2024,FRI,99.90,24.40,25.50,228.60,239.32,0.025,0.00788
15:4:4,12/7/2024,FRI,99.90,24.40,25.50,228.66,239.41,0.025,0.00806
15:4:5,12/7/2024,FRI,99.90,24.40,25.50,228.75,239.33,0.025,0.00854
15:4:5,12/7/2024,FRI,99.90,24.40,25.50,228.97,239.39,0.025,0.00948
15:4:5,12/7/2024,FRI,99.90,24.40,25.50,229.00,239.44,0.025,0.00954
15:4:5,12/7/2024,FRI,99.90,24.40,25.50,228.92,239.49,0.025,0.00914
15:4:6,12/7/2024,FRI,99.90,24.40,25.50,228.97,239.46,0.025,0.00940
15:4:6,12/7/2024,FRI,99.90,24.40,25.50,229.05,239.47,0.025,0.00972
15:4:6,12/7/2024,FRI,99.90,24.40,25.50,229.12,239.52,0.025,0.01001
15:4:6,12/7/2024,FRI,99.90,24.40,25.50,229.15,239.50,0.025,0.01015
15:4:7,12/7/2024,FRI,99.90,24.40,25.50,229.15,239.45,0.025,0.01022
15:4:7,12/7/2024,FRI,99.90,24.40,25.50,229.20,239.33,0.025,0.01057
15:4:7,12/7/2024,FRI,99.90,24.40,25.50,229.18,239.31,0.025,0.01051
15:4:7,12/7/2024,FRI,99.90,24.40,25.50,229.10,239.27,0.025,0.01019
15:4:8,12/7/2024,FRI,99.90,24.40,25.50,229.15,239.18,0.025,0.01050
15:4:8,12/7/2024,FRI,99.90,24.40,25.50,229.19,239.09,0.025,0.01077
15:4:8,12/7/2024,FRI,99.90,24.40,25.50,229.24,239.12,0.025,0.01094
15:4:8,12/7/2024,FRI,99.90,24.40,25.50,229.20,239.07,0.025,0.01082
15:4:9,12/7/2024,FRI,99.90,24.40,25.50,229.25,239.05,0.025,0.01106
15:4:9,12/7/2024,FRI,99.90,24.40,25.50,229.23,239.02,0.025,0.01103
15:4:9,12/7/2024,FRI,99.90,24.40,25.50,229.26,239.08,0.025,0.01108
15:4:9,12/7/2024,FRI,99.90,24.40,25.50,229.15,239.08,0.025,0.01057
15:4:10,12/7/2024,FRI,99.90,24.40,25.50,229.18,239.15,0.025,0.01066
15:4:10,12/7/2024,FRI,99.90,24.40,25.50,229.08,239.14,0.025,0.01022
15:4:10,12/7/2024,FRI,99.90,24.40,25.50,229.12,239.26,0.025,0.01026
15:4:10,12/7/2024,FRI,99.90,24.40,25.50,229.03,239.29,0.025,0.00985
15:4:11,12/7/2024,FRI,99.90,24.40,25.50,229.07,239.31,0.025,0.00998
15:4:11,12/7/2024,FRI,99.90,24.40,25.50,229.00,239.25,0.025,0.00972
15:4:11,12/7/2024,FRI,99.90,24.40,25.50,228.80,239.20,0.025,0.00888
15:4:11,12/7/2024,FRI,99.90,24.40,25.50,228.86,239.30,0.025,0.00904
15:4:12,12/7/2024,FRI,99.90,24.40,25.50,228.83,239.29,0.025,0.00895
15:4:12,12/7/2024,FRI,99.90,24.40,25.50,228.78,239.33,0.025,0.00869
15:4:12,12/7/2024,FRI,99.90,24.40,25.50,228.66,239.34,0.025,0.00812
15:4:12,12/7/2024,FRI,99.90,24.40,25.50,228.52,239.17,0.025,0.00765
15:4:13,12/7/2024,FRI,99.90,24.40,25.50,228.41,239.08,0.025,0.00729
15:4:13,12/7/2024,FRI,99.90,24.40,25.50,228.49,239.11,0.025,0.00760
15:4:13,12/7/2024,FRI,99.90,24.40,25.50,228.42,239.04,0.025,0.00735
15:4:13,12/7/2024,FRI,99.90,24.40,25.50,228.51,239.10,0.025,0.00768
15:4:14,12/7/2024,FRI,99.90,24.40,25.50,228.55,239.05,0.025,0.00792
15:4:14,12/7/2024,FRI,99.90,24.40,25.50,228.53,238.92,0.025,0.00797
15:4:14,12/7/2024,FRI,99.90,24.40,25.50,228.51,238.76,0.025,0.00806
15:4:14,12/7/2024,FRI,99.90,24.40,25.50,228.68,238.71,0.025,0.00888
15:4:15,12/7/2024,FRI,99.90,24.40,25.50,228.73,238.61,0.025,0.00917
15:4:15,12/7/2024,FRI,99.90,24.40,25.50,228.86,238.81,0.025,0.00959
15:4:15,12/7/2024,FRI,99.90,24.40,25.50,228.96,238.88,0.025,0.00995
